"Id","CountryCode","PostCode","Suburb","Latitude","Longitude"
3110,"NZ",110,"OTAIKA",-35.74182,174.3095
3111,"NZ",112,"KAMO",-35.69138,174.3098
3112,"NZ",114,"HIKURANGI",-35.60091,174.2868
3113,"NZ",116,"RUAKAKA",-35.91088,174.4553
3114,"NZ",200,"OPUA",-35.3071,174.1056
3115,"NZ",202,"RUSSELL",-35.26227,174.1252
3116,"NZ",210,"KAWAKAWA",-35.38344,174.0659
3117,"NZ",211,"MOEREWA",-35.38718,174.0237
3118,"NZ",230,"KERIKERI",-35.23758,173.9335
3119,"NZ",310,"DARGAVILLE",-35.98404,173.8869
3120,"NZ",405,"KAIKOHE",-35.41274,173.8068
3121,"NZ",410,"KAITAIA",-35.10391,173.2643
3122,"NZ",420,"TAIPA",-34.99331,173.4615
3123,"NZ",505,"MANGAWHAI HEADS",-36.08902,174.5893
3124,"NZ",510,"WAIPU",-35.98716,174.4444
3125,"NZ",520,"MAUNGATUROTO",-36.11501,174.3486
3126,"NZ",530,"RUAWAI",-36.13737,174.0246
3127,"NZ",600,"AVONDALE",-36.90201,174.7009
3128,"NZ",602,"GLEN EDEN",-36.91708,174.6322
3129,"NZ",604,"TITIRANGI",-36.96016,174.6514
3130,"NZ",610,"TE ATATU PENINSULA",-36.83064,174.6449
3131,"NZ",612,"HENDERSON",-36.87996,174.6416
3132,"NZ",614,"MASSEY",-36.84695,174.6122
3133,"NZ",618,"WHENUAPAI",-36.79359,174.618
3134,"NZ",620,"CASTOR BAY",-36.75505,174.7585
3135,"NZ",622,"BELMONT",-36.80862,174.7926
3136,"NZ",624,"DEVONPORT",-36.82319,174.7934
3137,"NZ",626,"BIRKDALE",-36.80138,174.7068
3138,"NZ",627,"NORTHCOTE",-36.79543,174.7532
3139,"NZ",629,"MARLBOROUGH",-36.7881,174.7264
3140,"NZ",630,"MURRAYS BAY",-36.73174,174.738
3141,"NZ",632,"ALBANY",-36.75219,174.6832
3142,"NZ",800,"HELENSVILLE",-36.6786,174.4567
3143,"NZ",810,"KUMEU",-36.78149,174.5478
3144,"NZ",812,"WAIMAUKU",-36.77229,174.4892
3145,"NZ",814,"MASSEY",-36.82129,174.609
3146,"NZ",820,"RIVERHEAD",-36.75771,174.5949
3147,"NZ",830,"PARAKAI",-36.66102,174.4309
3148,"NZ",900,"WELLSFORD",-36.28772,174.5235
3149,"NZ",910,"WARKWORTH",-36.39597,174.6526
3150,"NZ",920,"ALGIES BAY",-36.43591,174.7423
3151,"NZ",930,"GULF HARBOUR",-36.60857,174.7889
3152,"NZ",931,"OREWA",-36.5831,174.6927
3153,"NZ",932,"REDVALE",-36.61775,174.6774
3154,"NZ",1010,"AUCKLAND CENTRAL",-36.85978,174.7538
3155,"NZ",1011,"PONSONBY",-36.84806,174.7351
3156,"NZ",1021,"KINGSLAND",-36.86895,174.7525
3157,"NZ",1022,"POINT CHEVALIER",-36.8694,174.7067
3158,"NZ",1023,"EPSOM",-36.88999,174.7646
3159,"NZ",1024,"MT EDEN",-36.87007,174.7521
3160,"NZ",1025,"MT ALBERT",-36.89752,174.7149
3161,"NZ",1026,"WATERVIEW",-36.87783,174.6987
3162,"NZ",1041,"MT ROSKILL",-36.89944,174.7398
3163,"NZ",1042,"LYNFIELD",-36.92706,174.7155
3164,"NZ",1050,"REMUERA",-36.88711,174.8209
3165,"NZ",1051,"GREENLANE",-36.89176,174.7982
3166,"NZ",1052,"PARNELL",-36.85365,174.7788
3167,"NZ",1060,"MT WELLINGTON",-36.93414,174.8318
3168,"NZ",1061,"ONEHUNGA",-36.91093,174.7807
3169,"NZ",1062,"OTAHUHU",-36.93904,174.8513
